ISIN,BID,ASK,Valid
CH0354252261,230.43,231.95,valide
CH0354252261,161.301,162.365,invalide
CH0354753326,1231.12,1232.4,valide
CH0354753326,1157.2528,1158.456,invalide
CH0410513680,133.21,134.21,valide
CH0410513680,141.2026,142.2626,invalide
CH0428751272,120.2,121.2,valide
CH0428751272,116.594,117.564,invalide
CH0436946112,119.7,120.7,valide
CH0436946112,105.336,106.216,invalide
CH0436949645,128.5,129.5,valide
CH0436949645,131.07,132.09,invalide
CH0441693055,95.04,96.04,valide
CH0441693055,116.8992,118.1292,invalide
CH0441697353,138.29,139.37,valide
CH0441697353,120.3123,121.2519,invalide
CH0465314166,100.71,101.71,valide
CH0465314166,78.5538,79.3338,invalide
CH0473581053,108.88,109.88,valide
CH0473581053,127.3896,128.5596,invalide
CH0473582523,115.04,116.08,valide
CH0473582523,113.8896,114.9192,invalide
CH0473589411,127.68,128.72,valide
CH0473589411,103.4208,104.2632,invalide
CH0495578764,129.79,130.79,valide
CH0495578764,149.2585,150.4085,invalide
CH0495578772,129.44,130.44,valide
CH0495578772,126.8512,127.8312,invalide
CH0507404983,109.8,110.8,valide
CH0507404983,82.35,83.1,invalide
CH0511370279,165.26,166.56,valide
CH0511370279,165.26,166.56,invalide
CH0511378223,63.78,64.78,valide
CH0511378223,60.591,61.541,invalide
CH0511553734,112.49,113.49,valide
CH0511553734,107.9904,108.9504,invalide
CH0521386489,101.21,102.21,valide
CH0521386489,91.089,91.989,invalide
CH0540985469,126.01,127.01,valide
CH0540985469,120.9696,121.9296,invalide
CH0546396307,93.83,93.83,valide
CH0546396307,89.1385,89.1385,invalide
CH0547923059,112.28,113.28,valide
CH0547923059,127.9992,129.1392,invalide
CH0547931045,189.02,190.02,valide
CH0547931045,181.4592,182.4192,invalide
CH0547935517,78.94,80.16,valide
CH0547935517,101.0432,102.6048,invalide
CH0575779738,97.85,98.85,valide
CH0575779738,83.1725,84.0225,invalide
CH0575779746,95.92,96.92,valide
CH0575779746,92.0832,93.0432,invalide
CH0575782203,87.31,88.31,valide
CH0575782203,102.1527,103.3227,invalide
CH0575782385,91.56,92.56,valide
CH0575782385,96.138,97.188,invalide
CH0575783185,109.24,110.26,valide
CH0575783185,96.1312,97.0288,invalide
CH0575783813,72.09,73.19,valide
CH0575783813,69.9273,70.9943,invalide
CH0575784142,99.21,100.21,valide
CH0575784142,125.9967,127.2667,invalide
CH0575784159,96.82,97.82,valide
CH0575784159,100.6928,101.7328,invalide
CH0575785826,94.71,95.73,valide
CH0575785826,47.48,48.5,invalide
CH0575787301,96.5,97.5,valide
CH0575787301,70.445,71.175,invalide
CH0575787459,89.92,90.92,valide
CH0575787459,86.3232,87.2832,invalide
CH0578496330,101.59,102.59,valide
CH0578496330,107.6854,108.7454,invalide
CH0578503861,101.96,102.96,valide
CH0578503861,71.372,72.072,invalide
CH0584497009,107.49,108.49,valide
CH0584497009,82.7673,83.5373,invalide
CH0584955766,98.93,99.93,valide
CH0584955766,75.1868,75.9468,invalide
CH0588785201,99.51,100.51,valide
CH0588785201,128.3679,129.6579,invalide
CH0597497012,83.99,84.99,valide
CH0597497012,73.0713,73.9413,invalide
CH0598508056,94.16,95.16,valide
CH0598508056,93.2184,94.2084,invalide
CH1100073720,89.27,90.27,valide
CH1100073720,91.9481,92.9781,invalide
CH1103850132,102.77,103.77,valide
CH1103850132,76.0498,76.7898,invalide
CH1104348896,84.72,85.72,valide
CH1104348896,60.1512,60.8612,invalide
CH1104886655,80.15,81.15,valide
CH1104886655,102.592,103.872,invalide
CH1105898469,89.49,90.49,valide
CH1105898469,74.2767,75.1067,invalide
CH1105898618,94.33,95.33,valide
CH1105898618,76.4073,77.2173,invalide
CH1105898626,88.38,89.38,valide
CH1105898626,84.8448,85.8048,invalide
CH1106461432,89.08,90.08,valide
CH1106461432,69.4824,70.2624,invalide
CH1108178414,70.06,71.06,valide
CH1108178414,77.7666,78.8766,invalide
CH1115963592,62.19,63.19,valide
CH1115963592,73.3842,74.5642,invalide
CH1117358072,118.07,119.07,valide
CH1117358072,119.2507,120.2607,invalide
CH1118225668,76.45,77.45,valide
CH1118225668,93.269,94.489,invalide
CH1119804792,76.42,77.42,valide
CH1119804792,82.5336,83.6136,invalide
CH1119805021,85.4,86.4,valide
CH1119805021,96.502,97.632,invalide
CH1122299279,96.56,97.56,valide
CH1122299279,93.6632,94.6332,invalide
CH1125194402,109.21,110.21,valide
CH1125194402,107.0258,108.0058,invalide
CH1129051723,751.61,753.11,valide
CH1129051723,931.9964,933.8564,invalide
CH1129052119,75.47,76.97,valide
CH1129052119,98.111,100.061,invalide
CH1131138971,98.8,99.8,valide
CH1131138971,94.848,95.808,invalide
CH1131138997,98.93,99.93,valide
CH1131138997,116.7374,117.9174,invalide
CH1131139003,98.93,99.93,valide
CH1131139003,81.1226,81.9426,invalide
CH1133219829,80.09,81.09,valide
CH1133219829,99.3116,100.5516,invalide
CH1133220009,759.01,760.01,valide
CH1133220009,910.812,912.012,invalide
CH1133220017,862.77,863.77,valide
CH1133220017,1026.6963,1027.8863,invalide
CH1133220249,81.74,82.74,valide
CH1133220249,59.6702,60.4002,invalide
CH1134039333,85.47,86.47,valide
CH1134039333,77.7777,78.6877,invalide
CH1134039341,77.97,78.97,valide
CH1134039341,55.3587,56.0687,invalide
CH1134679971,78.78,80.28,valide
CH1134679971,79.5678,81.0828,invalide
CH1135357536,87.23,88.23,valide
CH1135357536,43.61,44.61,invalide
CH1138487967,121.9,122.9,valide
CH1138487967,113.367,114.297,invalide
CH1141730874,30.99,31.99,valide
CH1141730874,26.9613,27.8313,invalide
CH1141735428,29.55,30.55,valide
CH1141735428,25.1175,25.9675,invalide
CH1143034879,76.04,77.04,valide
CH1143034879,88.2064,89.3664,invalide
CH1149559143,81.11,82.11,valide
CH1149559143,102.1986,103.4586,invalide
CH1150958127,92.04,93.04,valide
CH1150958127,81.9156,82.8056,invalide
CH1165446498,127.4,128.4,valide
CH1165446498,124.852,125.832,invalide
CH1166036223,92.28,93.28,valide
CH1166036223,118.1184,119.3984,invalide
CH1173554416,135.72,136.72,valide
CH1173554416,160.1496,161.3296,invalide
CH1178869603,79.01,80.01,valide
CH1178869603,55.307,56.007,invalide
CH1179105676,10.58,11.58,valide
CH1179105676,13.4366,14.7066,invalide
CH1192095300,134.45,135.45,valide
CH1192095300,168.0625,169.3125,invalide
CH1193257669,100.23,101.73,valide
CH1193257669,96.2208,97.6608,invalide
CH1199361721,97.2,98.2,valide
CH1199361721,105.948,107.038,invalide
CH1203007518,129.74,130.74,valide
CH1203007518,166.0672,167.3472,invalide
CH1203007526,108.98,109.98,valide
CH1203007526,135.1352,136.3752,invalide
CH1206398377,96.74,98.74,valide
CH1206398377,80.2942,81.9542,invalide
CH1206398880,48.56,49.56,valide
CH1206398880,33.992,34.692,invalide
CH1206400041,99.51,100.51,valide
CH1206400041,110.4561,111.5661,invalide
CH1224811203,104.71,105.71,valide
CH1224811203,73.297,73.997,invalide
CH1234260409,114.28,115.28,valide
CH1234260409,108.566,109.516,invalide
CH1235307977,102.02,103.02,valide
CH1235307977,120.3836,121.5636,invalide
CH1237600064,114.93,115.93,valide
CH1237600064,111.4821,112.4521,invalide
CH1243384281,102.16,103.16,valide
CH1243384281,113.3976,114.5076,invalide
CH1243387565,89.3,90.3,valide
CH1243387565,80.37,81.27,invalide
CH1243389819,95.8,96.8,valide
CH1243389819,100.59,101.64,invalide
CH1243390361,99.47,100.47,valide
CH1243390361,90.5177,91.4277,invalide
CH1243390700,101.16,102.16,valide
CH1243390700,88.0092,88.8792,invalide
CH1243392029,101.66,102.66,valide
CH1243392029,127.075,128.325,invalide
CH1243392151,116.11,117.11,valide
CH1243392151,149.7819,151.0719,invalide
CH1243393217,99.72,100.72,valide
CH1243393217,76.7844,77.5544,invalide
CH1243395097,103.32,105.32,valide
CH1243395097,75.4236,76.8836,invalide
CH1243395493,101.25,102.25,valide
CH1243395493,105.3,106.34,invalide
CH1243395873,99.87,100.87,valide
CH1243395873,124.8375,126.0875,invalide
CH1243396954,98.03,99.03,valide
CH1243396954,120.5769,121.8069,invalide
CH1243397093,99.22,100.22,valide
CH1243397093,101.2044,102.2244,invalide
CH1243397762,92.9,93.9,valide
CH1243397762,82.681,83.571,invalide
CH1243397895,100.78,101.78,valide
