ISIN,BID,ASK,Valid
CH0354252261,230.43,231.95,valide
CH0354252261,230.42,231.94,valide
CH0354252261,161.301,162.365,invalide
CH0354252261,214.2999,215.7135,invalide
CH0354252261,253.473,255.145,invalide
CH0354252261,177.4311,178.6015,invalide
CH0354252261,214.2999,215.7135,invalide
CH0354252261,262.6902,264.423,invalide
CH0354252261,182.0318,183.2326,invalide
CH0354252261,209.6822,211.0654,invalide
CH0354252261,269.5914,271.3698,invalide
CH0354252261,244.2452,245.8564,invalide
CH0354252261,264.983,266.731,invalide
CH0354252261,276.504,278.328,invalide
CH0354753326,1231.12,1232.4,valide
CH0354753326,1157.2528,1158.456,invalide
CH0354753326,1021.8296,1022.892,invalide
CH0354753326,1428.0992,1429.584,invalide
CH0354753326,1206.4976,1207.752,invalide
CH0354753326,1132.6304,1133.808,invalide
CH0354753326,1551.2112,1552.824,invalide
CH0410513680,133.21,134.21,valide
CH0410513680,132.9,133.90,valide
CH0410513680,141.2026,142.2626,invalide
CH0410513680,163.8483,165.0783,invalide
CH0410513680,113.2285,114.0785,invalide
CH0410513680,161.1841,162.3941,invalide
CH0410513680,171.8409,173.1309,invalide
CH0410513680,143.8668,144.9468,invalide
CH0410513680,94.359,95.069,invalide
CH0410513680,152.835,153.985,invalide
CH0410513680,127.584,128.544,invalide
CH0410513680,94.359,95.069,invalide
CH0410513680,111.636,112.476,invalide
CH0410513680,140.874,141.934,invalide
CH0428751272,120.2,121.2,valide
CH0428751272,120.5,121.50,valide
CH0428751272,116.594,117.564,invalide
CH0428751272,98.564,99.384,invalide
CH0428751272,128.614,129.684,invalide
CH0428751272,102.17,103.02,invalide
CH0428751272,116.594,117.564,invalide
CH0428751272,115.392,116.352,invalide
CH0428751272,102.425,103.275,invalide
CH0428751272,127.73,128.79,invalide
CH0428751272,143.395,144.585,invalide
CH0428751272,107.245,108.135,invalide
CH0428751272,153.035,154.305,invalide
CH0428751272,139.78,140.94,invalide
CH0436946112,119.7,120.7,valide
CH0436946112,105.336,106.216,invalide
CH0436946112,89.775,90.525,invalide
CH0436946112,131.67,132.77,invalide
CH0436946112,148.428,149.668,invalide
CH0436946112,155.61,156.91,invalide
CH0436946112,141.246,142.426,invalide
CH0436949645,128.5,129.5,valide
CH0436949645,127.7,128.70,valide
CH0436949645,131.07,132.09,invalide
CH0436949645,122.075,123.025,invalide
CH0436949645,96.375,97.125,invalide
CH0436949645,161.91,163.17,invalide
CH0436949645,93.805,94.535,invalide
CH0436949645,167.05,168.35,invalide
CH0436949645,141.747,142.857,invalide
CH0436949645,128.977,129.987,invalide
CH0436949645,159.625,160.875,invalide
CH0436949645,135.362,136.422,invalide
CH0436949645,90.667,91.377,invalide
CH0436949645,120.038,120.978,invalide
CH0441693055,95.04,96.04,valide
CH0441693055,116.8992,118.1292,invalide
CH0441693055,118.8,120.05,invalide
CH0441693055,109.296,110.446,invalide
CH0441693055,108.3456,109.4856,invalide
CH0441693055,93.1392,94.1192,invalide
CH0441693055,66.528,67.228,invalide
CH0441697353,138.29,139.37,valide
CH0441697353,138.21,139.29,valide
CH0441697353,120.3123,121.2519,invalide
CH0441697353,150.7361,151.9133,invalide
CH0441697353,117.5465,118.4645,invalide
CH0441697353,147.9703,149.1259,invalide
CH0441697353,109.2491,110.1023,invalide
CH0441697353,109.2491,110.1023,invalide
CH0441697353,111.9501,112.8249,invalide
CH0441697353,117.4785,118.3965,invalide
CH0441697353,117.4785,118.3965,invalide
CH0441697353,127.1532,128.1468,invalide
